"sampleBlogs.txt";"sampleNews.txt";"sampleTwitter.txt"
"� a";0;40;0
"� acr";0;21;0
"� an";0;1;0
"� and";0;11;0
"� attend";0;2;0
"� do";0;0;1
"� dont";0;46;0
"� lilli";0;37;0
"� whi";0;29;0
"� while";0;21;0
"� and";0;66;0
"� are";0;27;0
"� even";0;36;0
"� give";0;1;0
"� let";0;26;0
"� lou";0;26;0
"� mark";0;26;0
"� the";0;1;0
"� with";0;67;0
"● anoth";0;19;0
"● gag";27;0;0
"◚ yeah";0;0;6
"� a";32;0;0
"a ‘fish";5;0;0
"a ‘relat";43;0;0
"a ‘spatula’";5;0;0
"a ‘trayvon";17;0;0
"a ‘well’";7;0;0
"a “bumper”";6;0;0
"a “burn";16;0;0
"a “busi";98;0;0
"a “cold";29;0;0
"a “don’t";16;0;0
"a “grumpy”";12;0;0
"a “hot";1;35;0
"a “huge”";3;0;0
"a “major";23;0;0
"a “me";1;0;0
"a “missing”";22;0;0
"a “racial”";1;0;0
"a “sleep";6;0;0
"a “spicey”";30;0;0
"a “tamil";25;0;0
"a “tango";37;0;0
"a about";0;33;0
"a absolut";0;0;54
"a advantag";0;4;0
"a afghan";0;0;1
"a agre";0;0;56
"� although";22;0;0
"a am";0;0;25
"a anim";0;0;51
"a anoth";1;0;0
"a are";0;4;0
"a asian";0;0;4
"a ass";0;0;42
"a auburn";0;0;27
"a authent";5;0;0
"a autograph";0;0;12
"a awesom";0;0;49
"a b";0;1;0
"a babi";66;4;0
"a babysitt";8;0;0
"a bachelor";0;30;0
"a back";0;4;0
"a backandforth";0;25;0
"a backdrop";0;2;0
"a backer";5;0;0
"a backup";12;0;0
"a backyard";0;28;0
"a bad";133;52;134
"a bag";15;0;0
"a bake";22;0;0
"a baker";46;61;0
"a balanc";0;32;0
"a ball";0;8;0
"a ballet";0;1;0
"a baltimor";0;2;0
"a band";72;0;0
"a bandwagon";0;1;0
"a bang";0;31;0
"a banjoladen";2;0;0
"a bank";0;16;0
"a bar";38;1;0
"a bare";16;0;0
"a barg";11;0;0
"a barn";0;40;0
"a baroqu";0;0;6
"a barrag";0;11;0
"a basebal";0;2;1
"a basement";0;40;0
"a basic";61;2;0
"a basket";0;31;0
"a basketbal";0;6;54
"a bat";0;2;4
"a battl";82;65;40
"a battleground";0;33;0
"a bbq";0;0;56
"a be";0;0;12
"a beach";0;0;32
"a beacon";0;4;0
"a bean";5;0;0
"a bear";0;81;0
"a beast";0;0;137
"a beatup";0;31;0
"a beauti";50;76;71
"a bed";1;33;0
"a bee";0;1;0
"a been";0;2;0
"a beer";3;0;70
"a beetl";0;0;34
"a begin";47;26;0
"a beginn";3;0;0
"a behavior";0;23;0
"a believ";0;0;63
"a belliger";1;0;0
"a benevol";2;0;0
"a benign";1;0;0
"a bernank";0;1;0
"a best";1;0;0
"a bet";0;7;0
"a betta";0;0;1
